   Step   Time    Walltime(s) Profile
      0   0.0000     0.0020   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     2.6477   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▃▄▅▆▇▇████▇▆▅▄▄▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
1000000   5.0000     5.2796   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇██████▇▇▆▅▅▄▃▃▂▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     7.9129   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▇▆▅▅▄▄▃▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000    10.5428   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▆▆▆▅▅▄▄▃▃▃▂▂▂▂▂▁▁▁
2500000  12.5000    13.1742   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▇▇▇█████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000    15.8044   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▆▅▅▄▄▄▃▃▃▃▃▂▂▂
3500000  17.5000    18.4340   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
4000000  20.0000    21.0638   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    23.6937   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▅▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    26.3238   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▄▄▄▄
5500000  27.5000    28.9530   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
6000000  30.0000    31.5840   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    34.2143   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    36.8445   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
7500000  37.5000    39.4751   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
8000000  40.0000    42.1053   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
8500000  42.5000    44.7345   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    47.3647   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    49.9951   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    52.6247   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    55.2548   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    57.8847   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
11500000  57.5000    60.5144   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    63.1456   ████████████████████████████████████████████████
12500000  62.5000    65.7764   ████████████████████████████████████████████████
13000000  65.0000    68.4067   ████████████████████████████████████████████████
13500000  67.5000    71.0364   ████████████████████████████████████████████████
14000000  70.0000    73.6675   ████████████████████████████████████████████████
14500000  72.5000    76.2976   ████████████████████████████████████████████████
15000000  75.0000    78.9283   ████████████████████████████████████████████████
15500000  77.5000    81.5584   ████████████████████████████████████████████████
16000000  80.0000    84.1893   ████████████████████████████████████████████████
16500000  82.5000    86.8192   ████████████████████████████████████████████████
17000000  85.0000    89.4507   ████████████████████████████████████████████████
17500000  87.5000    92.0837   ████████████████████████████████████████████████
18000000  90.0000    94.7129   ████████████████████████████████████████████████
18500000  92.5000    97.3428   ████████████████████████████████████████████████
19000000  95.0000    99.9727   ████████████████████████████████████████████████
19500000  97.5000   102.6026   ████████████████████████████████████████████████
20000000 100.0000   105.2322   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0013   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     1.5401   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▃▄▅▆▇▇████▇▇▆▅▄▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁
1000000   5.0000     3.0665   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇██████▇▇▆▅▅▄▃▃▃▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     4.5928   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000     6.1196   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
2500000  12.5000     7.6474   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▇▇▇█████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000     9.1730   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▃▃▂▂▂
3500000  17.5000    10.7010   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000    12.2269   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    13.7552   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    15.2816   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    16.8094   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
6000000  30.0000    18.3361   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    19.8645   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇████████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    21.3914   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
7500000  37.5000    22.9190   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
8000000  40.0000    24.4477   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
8500000  42.5000    25.9751   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    27.5016   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    29.0294   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    30.5671   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    32.0977   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    33.6245   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
11500000  57.5000    35.1554   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    36.6839   ████████████████████████████████████████████████
12500000  62.5000    38.2133   ████████████████████████████████████████████████
13000000  65.0000    39.7417   ████████████████████████████████████████████████
13500000  67.5000    41.2706   ████████████████████████████████████████████████
14000000  70.0000    42.8005   ████████████████████████████████████████████████
14500000  72.5000    44.3285   ████████████████████████████████████████████████
15000000  75.0000    45.8572   ████████████████████████████████████████████████
15500000  77.5000    47.3848   ████████████████████████████████████████████████
16000000  80.0000    48.9139   ████████████████████████████████████████████████
16500000  82.5000    50.4437   ████████████████████████████████████████████████
17000000  85.0000    51.9740   ████████████████████████████████████████████████
17500000  87.5000    53.5028   ████████████████████████████████████████████████
18000000  90.0000    55.0310   ████████████████████████████████████████████████
18500000  92.5000    56.5607   ████████████████████████████████████████████████
19000000  95.0000    58.0887   ████████████████████████████████████████████████
19500000  97.5000    59.6171   ████████████████████████████████████████████████
20000000 100.0000    61.1460   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0010   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
